cp	max_depth	min_split	min_bucket	ganancia_promedio
-5	9	1000	500	47430000
-5	9	1100	550	49450000
-5	9	1200	600	49390000
-5	9	1500	750	46580000
-5	9	2000	1000	47910000
-5	10	10	5	42440000
-5	10	20	10	41190000
-5	10	30	15	38180000
-5	10	40	20	37550000
-5	10	50	25	36940000
-5	10	60	30	35670000
-5	10	70	35	33670000
-5	10	80	40	32720000
-5	10	100	50	37760000
-5	10	200	100	42950000
-5	10	300	150	42030000
-5	10	400	200	47530000
-5	10	500	250	46740000
-5	10	600	300	45680000
-5	10	700	350	46150000
-5	10	800	400	47490000
-5	10	900	450	44930000
-5	10	1000	500	47430000
-5	10	1100	550	49450000
-5	10	1200	600	49390000
-5	10	1500	750	46580000
-5	10	2000	1000	47910000
-5	11	10	5	39660000
-5	11	20	10	37770000
-5	11	30	15	34750000
-5	11	40	20	35020000
-5	11	50	25	29280000
-5	11	60	30	30040000
-5	11	70	35	28590000
-5	11	80	40	28430000
-5	11	100	50	34530000
-5	11	200	100	41530000
-5	11	300	150	42650000
-5	11	400	200	47430000
-5	11	500	250	45780000
-5	11	600	300	44150000
-5	11	700	350	44530000
-5	11	800	400	47490000
-5	11	900	450	44930000
-5	11	1000	500	47430000
-5	11	1100	550	49450000
-5	11	1200	600	49390000
-5	11	1500	750	46580000
-5	11	2000	1000	47910000
-4	5	10	5	44750000
-4	5	20	10	44750000
-4	5	30	15	43380000
-4	5	40	20	42960000
-4	5	50	25	42660000
-4	5	60	30	43320000
-4	5	70	35	43320000
-4	5	80	40	43320000
-4	5	100	50	43020000
-4	5	200	100	45420000
-4	5	300	150	45820000
-4	5	400	200	46530000
-4	5	500	250	46530000
-4	5	600	300	46450000
-4	5	700	350	45930000
-4	5	800	400	45930000
-4	5	900	450	45670000
-4	5	1000	500	45140000
-4	5	1100	550	46140000
-4	5	1200	600	46080000
-4	5	1500	750	44790000
-4	5	2000	1000	47910000
-4	6	10	5	44810000
-4	6	20	10	45450000
-4	6	30	15	45670000
-4	6	40	20	44800000
-4	6	50	25	44260000
-4	6	60	30	45150000
-4	6	70	35	45140000
-4	6	80	40	45080000
-4	6	100	50	44890000
-4	6	200	100	49450000
-4	6	300	150	47540000
-4	6	400	200	47430000
-4	6	500	250	47430000
-4	6	600	300	47880000
-4	6	700	350	48780000
-4	6	800	400	49020000
-4	6	900	450	47830000
-4	6	1000	500	47720000
-4	6	1100	550	48720000
-4	6	1200	600	48660000
-4	6	1500	750	46580000
-4	6	2000	1000	47910000
-4	7	10	5	4.8e+07
-4	7	20	10	47860000
-4	7	30	15	48520000
-4	7	40	20	46530000
-4	7	50	25	42550000
-4	7	60	30	42400000
-4	7	70	35	41550000
-4	7	80	40	42150000
-4	7	100	50	45670000
-4	7	200	100	46920000
-4	7	300	150	44360000
-4	7	400	200	46190000
-4	7	500	250	46190000
-4	7	600	300	46190000
-4	7	700	350	46750000
-4	7	800	400	49020000
-4	7	900	450	47830000
-4	7	1000	500	46700000
-4	7	1100	550	48720000
-4	7	1200	600	48660000
-4	7	1500	750	46580000
-4	7	2000	1000	47910000
-4	8	10	5	48670000
-4	8	20	10	43150000
-4	8	30	15	41840000
-4	8	40	20	38080000
-4	8	50	25	38180000
-4	8	60	30	38710000
-4	8	70	35	39520000
-4	8	80	40	39600000
-4	8	100	50	38240000
-4	8	200	100	41510000
-4	8	300	150	43210000
-4	8	400	200	47150000
-4	8	500	250	47980000
-4	8	600	300	47510000
-4	8	700	350	48020000
-4	8	800	400	50540000
-4	8	900	450	47830000
-4	8	1000	500	47430000
-4	8	1100	550	49450000
-4	8	1200	600	49390000
-4	8	1500	750	46580000
-4	8	2000	1000	47910000
-4	9	10	5	47280000
-4	9	20	10	40530000
-4	9	30	15	38480000
-4	9	40	20	37110000
-4	9	50	25	38080000
-4	9	60	30	39400000
-4	9	70	35	38110000
-4	9	80	40	36740000
-4	9	100	50	40810000
-4	9	200	100	43440000
-4	9	300	150	43810000
-4	9	400	200	48310000
-4	9	500	250	46730000
-4	9	600	300	46430000
-4	9	700	350	46910000
-4	9	800	400	49150000
-4	9	900	450	46310000
-4	9	1000	500	47430000
-4	9	1100	550	49450000
-4	9	1200	600	49390000
-4	9	1500	750	46580000
-4	9	2000	1000	47910000
-4	10	10	5	42440000
-4	10	20	10	41190000
-4	10	30	15	38180000
-4	10	40	20	37550000
-4	10	50	25	36940000
-4	10	60	30	35670000
-4	10	70	35	33670000
-4	10	80	40	32720000
-4	10	100	50	37760000
